position,rotation,velocity,angular_velocity
[7.099009 0.1000907 -23.37201],[0.9986827 0.01810621 0.004863508 0.04776466],[-0.974342 0.0 0.158641],[0.0007570059 -0.0002729554 0.009380591]
[7.079307 0.1000907 -23.36872],[0.9986788 0.01811222 0.004862335 0.04784413],[-0.9850814 0.0 0.164501],[0.0006517101 -0.0002303653 0.007950224]
[7.059392 0.1000907 -23.36532],[0.9986755 0.01811733 0.004861352 0.04791097],[-0.9957657 0.0 0.1703166],[0.0005539029 -0.0001931679 0.006686051]
[7.039264 0.1000907 -23.3618],[0.9986727 0.01812167 0.004860534 0.04796673],[-1.00639 0.0 0.1760878],[0.0004690974 -0.0001605246 0.005579141]
[7.018925 0.1000907 -23.35816],[0.9986704 0.01812526 0.004859857 0.04801293],[-1.016952 0.0 0.1818145],[0.0003888052 -0.0001329702 0.004622038]
[6.998376 0.1000907 -23.35441],[0.9986686 0.01812828 0.004859304 0.04805093],[-1.027447 0.0 0.1874969],[0.000325316 -0.0001088328 0.003801269]
[6.977619 0.1000907 -23.35055],[0.9986671 0.01813071 0.00485885 0.04808197],[-1.037872 0.0 0.193135],[0.0002629529 -8.918254E-05 0.003105061]
[6.956654 0.1000907 -23.34657],[0.9986658 0.01813255 0.004858475 0.04810716],[-1.048226 0.0 0.198729],[0.0002004243 -7.36397E-05 0.00252019]
[6.935484 0.1000907 -23.34249],[0.9986648 0.01813386 0.004858163 0.04812752],[-1.058507 0.0 0.204279],[0.0001437894 -6.128868E-05 0.002036974]
[6.91411 0.1000907 -23.33829],[0.998664 0.01813467 0.004857901 0.04814387],[-1.068714 0.0 0.2097852],[9.173561E-05 -5.150652E-05 0.001635724]
[6.892533 0.1000907 -23.33399],[0.9986634 0.01813502 0.004857677 0.04815696],[-1.078846 0.0 0.2152476],[4.295304E-05 -4.415704E-05 0.001309062]
